lat,lon,timestamp,freq,cid,rsrp,rsrq,type
34.0192348,-118.4966022,1621291178.693098,850,491,-88.9375,-15.0,PCell
34.01923485,-118.49660239,1621291178.703138,850,491,-89.0,-15.0,PCell
34.0192349,-118.49660258,1621291178.713093,850,491,-89.0,-13.1875,PCell
34.01923496,-118.49660277,1621291178.723098,850,491,-89.3125,-8.8125,PCell
34.01923501,-118.49660296,1621291178.733094,850,491,-89.25,-14.5,PCell
34.01923506,-118.49660315,1621291178.743095,850,491,-89.0625,-13.6875,PCell
34.01923511,-118.49660333,1621291178.753098,850,491,-88.9375,-14.875,PCell
34.01923516,-118.49660352,1621291178.763109,850,491,-89.0,-14.875,PCell
34.01923522,-118.49660371,1621291178.773107,850,491,-88.8125,-15.375,PCell
34.01923527,-118.4966039,1621291178.783055,850,491,-88.875,-15.25,PCell
34.01923532,-118.49660409,1621291178.791987,850,491,-88.9375,-12.5625,PCell
34.01923532,-118.49660409,1621291178.791987,850,352,-100.0625,-22.1875,neighbor-intra
34.01923532,-118.49660409,1621291178.793109,850,491,-88.875,-15.375,PCell
34.01923537,-118.49660428,1621291178.801714,9720,435,-112.25,-12.0625,1_SCell
34.01923537,-118.49660428,1621291178.801714,9720,325,-116.75,-16.25,neighbor-intra
34.01923537,-118.49660428,1621291178.801714,9720,209,-118.0,-15.0,neighbor-intra
34.01923537,-118.49660428,1621291178.801714,9720,309,-117.75,-14.8125,neighbor-intra
34.01923537,-118.49660428,1621291178.803148,850,491,-89.0,-15.6875,PCell
34.01923542,-118.49660447,1621291178.813092,850,491,-88.9375,-15.3125,PCell
34.01923547,-118.49660466,1621291178.823105,850,491,-88.875,-15.3125,PCell
34.01923553,-118.49660485,1621291178.833097,850,491,-88.875,-15.1875,PCell
34.01923558,-118.49660504,1621291178.843111,850,491,-89.0,-15.1875,PCell
34.01923563,-118.49660522,1621291178.853097,850,491,-89.0,-15.25,PCell
34.01923568,-118.49660541,1621291178.863109,850,491,-89.125,-15.5,PCell
34.01923573,-118.4966056,1621291178.873107,850,491,-89.0625,-15.5,PCell
34.01923579,-118.49660579,1621291178.88311,850,491,-89.0,-8.625,PCell
34.01923584,-118.49660598,1621291178.893103,850,491,-89.0625,-15.5,PCell
34.01923589,-118.49660617,1621291178.903116,850,491,-89.1875,-14.75,PCell
34.01923594,-118.49660636,1621291178.913117,850,491,-89.1875,-15.3125,PCell
34.0192376,-118.49661241,1621291179.225893,850,491,-90.6875,-11.25,PCell
34.01923926,-118.49661846,1621291179.545892,850,491,-92.0625,-13.875,PCell
34.01924092,-118.49662451,1621291179.867059,850,491,-91.25,-14.3125,PCell
34.01924098,-118.4966247,1621291179.884078,9720,435,-112.3125,-12.0,1_SCell
34.01924098,-118.4966247,1621291179.884078,9720,325,-116.5,-15.9375,neighbor-intra
34.01924098,-118.4966247,1621291179.884078,9720,309,-120.4375,-15.6875,neighbor-intra
34.01924098,-118.4966247,1621291179.884078,9720,209,-119.3125,-16.0625,neighbor-intra
34.01924259,-118.49663056,1621291180.185913,850,491,-90.25,-14.4375,PCell
34.01924425,-118.49663661,1621291180.50589,850,491,-91.1875,-16.0,PCell
34.0192443,-118.4966368,1621291180.515258,850,491,-90.9375,-15.1875,PCell
34.0192443,-118.4966368,1621291180.515258,850,352,-99.6875,-22.625,neighbor-intra
34.01924591,-118.49664266,1621291180.827055,850,491,-92.0,-13.3125,PCell
34.01924596,-118.49664285,1621291180.844578,9720,435,-113.75,-13.9375,1_SCell
