lat,lon,timestamp,freq,cid,rsrp,rsrq,type
34.0184602,-118.48994865,1621463885.300648,850,456,-80.75,-8.75,PCell
34.0184602,-118.48994865,1621463885.300648,850,164,-93.4375,-17.5625,neighbor-intra
34.01845856,-118.48994975,1621463885.398786,66986,153,-30.0,0.0,2_SCell
34.0184584,-118.48994987,1621463885.409506,9720,311,-85.8125,-8.75,1_SCell
34.01845774,-118.48995031,1621463885.44766,66986,153,-90.5625,-8.5,2_SCell
34.01845774,-118.48995031,1621463885.44766,66986,155,-98.125,-14.0625,neighbor-intra
34.01845774,-118.48995031,1621463885.44766,66986,154,-98.25,-14.125,neighbor-intra
34.01845774,-118.48995031,1621463885.44766,66986,347,-105.75,-21.9375,neighbor-intra
34.01845708,-118.48995075,1621463885.486606,850,456,-81.125,-9.875,PCell
34.01845708,-118.48995075,1621463885.486606,850,164,-90.9375,-17.3125,neighbor-intra
34.01845708,-118.48995075,1621463885.487788,66986,153,-90.5625,-8.5,2_SCell
34.01845708,-118.48995075,1621463885.487788,66986,155,-98.1875,-14.1875,neighbor-intra
34.01845708,-118.48995075,1621463885.487788,66986,154,-98.125,-14.0625,neighbor-intra
34.01845708,-118.48995075,1621463885.487788,66986,347,-105.6875,-21.875,neighbor-intra
34.01845429,-118.48995262,1621463885.660585,850,456,-81.0,-10.0625,PCell
34.01845429,-118.48995262,1621463885.660585,850,164,-93.125,-19.0,neighbor-intra
34.01845429,-118.48995262,1621463885.662729,66986,153,-91.3125,-9.0,1_SCell
34.01845429,-118.48995262,1621463885.662729,66986,154,-99.125,-15.1875,neighbor-intra
34.01845429,-118.48995262,1621463885.662729,66986,155,-98.875,-15.0,neighbor-intra
34.01845429,-118.48995262,1621463885.662729,66986,347,-105.5625,-21.875,neighbor-intra
34.0184538,-118.48995295,1621463885.690566,66461,387,-30.0,0.0,2_SCell
34.01845298,-118.48995351,1621463885.739482,66461,387,-90.4375,-8.0625,2_SCell
34.01845298,-118.48995351,1621463885.739482,66461,344,-96.625,-19.0,neighbor-intra
34.01845101,-118.48995483,1621463885.858782,850,456,-80.8125,-10.5,PCell
34.01845101,-118.48995483,1621463885.858782,850,164,-92.1875,-19.3125,neighbor-intra
34.01845101,-118.48995483,1621463885.859463,66986,153,-90.875,-8.875,1_SCell
34.01845101,-118.48995483,1621463885.859463,66986,155,-97.875,-15.625,neighbor-intra
34.01845101,-118.48995483,1621463885.859463,66986,154,-98.9375,-15.9375,neighbor-intra
34.01845101,-118.48995483,1621463885.859463,66986,347,-103.875,-21.3125,neighbor-intra
34.0184497,-118.48995571,1621463885.939478,66461,387,-90.1875,-8.8125,2_SCell
34.0184497,-118.48995571,1621463885.939478,66461,344,-96.9375,-18.9375,neighbor-intra
34.01844773,-118.48995703,1621463886.058799,850,456,-80.375,-11.5,PCell
34.01844773,-118.48995703,1621463886.058799,850,164,-92.375,-19.375,neighbor-intra
34.01844773,-118.48995703,1621463886.058866,66986,153,-90.625,-9.9375,1_SCell
34.01844773,-118.48995703,1621463886.058866,66986,155,-97.125,-15.625,neighbor-intra
34.01844773,-118.48995703,1621463886.058866,66986,154,-98.5,-16.5625,neighbor-intra
34.01844773,-118.48995703,1621463886.058866,66986,347,-102.8125,-21.125,neighbor-intra
34.01844707,-118.48995748,1621463886.098773,66461,387,-89.375,-9.625,2_SCell
34.01844707,-118.48995748,1621463886.098773,66461,344,-96.8125,-19.0625,neighbor-intra
34.0184446,-118.48995918,1621463886.258764,850,456,-80.5,-11.8125,PCell
34.0184446,-118.48995918,1621463886.258764,850,164,-91.6875,-19.3125,neighbor-intra
34.0184446,-118.48995918,1621463886.258846,66986,153,-90.9375,-11.0,1_SCell
34.0184446,-118.48995918,1621463886.258846,66986,155,-95.6875,-15.625,neighbor-intra
34.0184446,-118.48995918,1621463886.258846,66986,154,-98.6875,-17.6875,neighbor-intra
34.0184446,-118.48995918,1621463886.258846,66986,347,-101.0,-20.5,neighbor-intra
34.01844394,-118.48995982,1621463886.299479,66461,387,-88.75,-11.0625,2_SCell
34.01844394,-118.48995982,1621463886.299479,66461,344,-96.5,-19.3125,neighbor-intra
34.01844127,-118.48996236,1621463886.459568,850,456,-81.0,-13.125,PCell
34.01844127,-118.48996236,1621463886.459568,850,164,-91.0,-19.5,neighbor-intra
34.01844127,-118.48996236,1621463886.45963,66986,153,-91.8125,-11.5625,1_SCell
34.01844127,-118.48996236,1621463886.45963,66986,155,-96.1875,-15.9375,neighbor-intra
34.01844127,-118.48996236,1621463886.45963,66986,154,-99.8125,-18.9375,neighbor-intra
34.01844127,-118.48996236,1621463886.45963,66986,347,-100.9375,-20.4375,neighbor-intra
34.0184406,-118.489963,1621463886.498832,66461,387,-89.125,-11.9375,2_SCell
34.0184406,-118.489963,1621463886.498832,66461,344,-95.125,-18.25,neighbor-intra
34.01843793,-118.48996554,1621463886.658771,850,456,-81.6875,-13.5,PCell
34.01843793,-118.48996554,1621463886.658771,850,164,-89.5625,-18.5625,neighbor-intra
34.01843793,-118.48996554,1621463886.658847,66986,153,-91.5625,-11.4375,1_SCell
34.01843793,-118.48996554,1621463886.658847,66986,155,-95.875,-15.375,neighbor-intra
34.01843793,-118.48996554,1621463886.658847,66986,154,-100.1875,-19.25,neighbor-intra
34.01843793,-118.48996554,1621463886.658847,66986,347,-101.0625,-20.0,neighbor-intra
34.01843726,-118.48996618,1621463886.699483,66461,387,-89.75,-12.625,2_SCell
34.01843726,-118.48996618,1621463886.699483,66461,344,-96.375,-18.9375,neighbor-intra
34.01843459,-118.48996872,1621463886.858426,850,456,-82.1875,-14.0,PCell
34.01843459,-118.48996872,1621463886.858426,850,164,-89.625,-18.5625,neighbor-intra
