time,lat,lon,servingFreq,servingCid,targetFreq,targetCid,1_SCell_freq,1_SCell_cid,2_SCell_freq,2_SCell_cid,3_SCell_freq,3_SCell_cid,NR_freq,NR_cid,config,reports
1629657670.430084,34.0219902,-118.4883082,2300,477,2300,476,1125,476,None,None,None,None,None,None,None,{}
1629657723.233908,34.02065439,-118.48732252,2300,476,2300,279,1125,279,5035,279,None,None,None,None,"('2300', '1', 'a3', 'ms40', 'rsrp', 'ms480', 'infinity', 4.0)","{('2300', '1', 'a3', 'ms40', 'rsrp', 'ms480', 'infinity', 4.0): [('2021-08-22 18:42:03.201612', '279', '-20.0', '-107', '-14.5', '-101')]}"
1629657776.841604,34.01971929,-118.48791165,2300,279,2300,311,1125,311,68886,311,None,None,None,None,"('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:42:56.799147', '311', '-18.0', '-107', '-11.5', '-99')]}"
1629657794.575063,34.01858003,-118.48665021,2300,311,2300,279,1125,279,5035,279,None,None,None,None,"('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:43:14.527056', '279', '-20.0', '-111', '-12.0', '-103')]}"
1629657801.511721,34.01840743,-118.48644509,2300,279,2300,234,1125,234,68886,234,None,None,None,None,"('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:43:21.458952', '234', '-20.0', '-117', '-15.5', '-110')]}"
1629657842.571891,34.01878003,-118.4886768,2300,234,2300,319,1125,319,5035,319,None,None,None,None,"('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:44:02.533981', '319', '-20.0', '-107', '-12.0', '-98')]}"
1629657871.343428,34.01998301,-118.4882256,2300,319,66786,279,1125,279,5035,279,None,None,126510,311,"('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:44:31.318410', '279', '-20.0', '-111', '-13.0', '-103')]}"
1629657881.849205,34.02067409,-118.48905097,66786,279,66786,311,1125,311,68886,311,None,None,512190,234,"('66786', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('66786', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:44:41.800624', '311', '-17.5', '-105', '-9.5', '-97')]}"
1629657885.233966,34.02089457,-118.48929904,66786,311,66786,279,1125,279,5035,279,None,None,126510,311,"('66786', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('66786', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:44:45.160500', '279', '-20.0', '-112', '-14.0', '-105')]}"
1629657901.265303,34.02102207,-118.48939566,66786,279,2300,476,1125,476,None,None,None,None,None,None,None,"{('66786', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:45:01.208393', '476', '-13.5', '-95', '-9.5', '-90')]}"
1629657949.047023,34.02321262,-118.48998902,2300,476,2300,279,None,None,None,None,None,None,None,None,"('2300', '1', 'a3', 'ms40', 'rsrp', 'ms480', 'infinity', 4.0)","{('2300', '1', 'a3', 'ms40', 'rsrp', 'ms480', 'infinity', 4.0): [('2021-08-22 18:45:49.017520', '279', '-20.0', '-106', '-13.5', '-100')]}"
1629657951.33252,34.02330451,-118.48988391,2300,279,2300,311,1125,311,68886,311,None,None,None,None,"('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:45:51.278429', '311', '-19.0', '-108', '-11.5', '-100')]}"
1629657984.112921,34.02516746,-118.49058414,2300,311,2300,43,None,None,None,None,None,None,None,None,"('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:46:24.057124', '43', '-20.0', '-115', '-16.5', '-111')]}"
1629657984.966966,34.02516746,-118.49058414,2300,43,2300,480,1125,480,None,None,None,None,None,None,"('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0)","{('2300', '1', 'a3', 'ms320', 'rsrp', 'ms480', 'infinity', 3.0): [('2021-08-22 18:46:24.918124', '480', '-20.0', '-115', '-16.5', '-110')]}"
