lat,lon,timestamp,freq,cid,rsrp,rsrq,type
34.01948483,-118.4986341,1628896177.317927,66786,43,-87.8125,-11.6875,PCell
34.01948483,-118.4986341,1628896177.317927,66786,206,-91.625,-20.0625,neighbor-intra
34.01948347,-118.49863648,1628896177.396876,66786,43,-87.75,-11.1875,PCell
34.01948347,-118.49863648,1628896177.396876,66786,206,-92.1875,-20.375,neighbor-intra
34.01948212,-118.49863886,1628896177.477928,66786,43,-87.0,-11.625,PCell
34.01948212,-118.49863886,1628896177.477928,66786,206,-91.0,-20.3125,neighbor-intra
34.01948076,-118.49864124,1628896177.556918,66786,43,-86.0625,-11.8125,PCell
34.01948076,-118.49864124,1628896177.556918,66786,206,-90.125,-20.0625,neighbor-intra
34.01948076,-118.49864124,1628896177.560813,1125,43,-80.75,-15.25,1_SCell
34.01948076,-118.49864124,1628896177.560813,1125,206,-86.4375,-21.5625,neighbor-intra
34.0194794,-118.49864363,1628896177.637927,66786,43,-87.0,-11.5625,PCell
34.0194794,-118.49864363,1628896177.637927,66786,206,-90.3125,-19.5625,neighbor-intra
34.01947805,-118.49864601,1628896177.7169,66786,43,-87.375,-11.875,PCell
34.01947805,-118.49864601,1628896177.7169,66786,206,-92.1875,-20.625,neighbor-intra
34.01947669,-118.49864839,1628896177.797929,66786,43,-87.25,-11.6875,PCell
34.01947669,-118.49864839,1628896177.797929,66786,206,-90.5625,-19.0625,neighbor-intra
34.01947533,-118.49865077,1628896177.876908,66786,43,-87.1875,-11.1875,PCell
34.01947533,-118.49865077,1628896177.876908,66786,206,-91.4375,-19.6875,neighbor-intra
34.01947398,-118.49865315,1628896177.957922,66786,43,-87.125,-11.125,PCell
34.01947398,-118.49865315,1628896177.957922,66786,206,-92.0,-20.0625,neighbor-intra
34.01947262,-118.49865554,1628896178.036924,66786,43,-87.0625,-10.8125,PCell
34.01947262,-118.49865554,1628896178.036924,66786,206,-92.3125,-20.4375,neighbor-intra
34.01947262,-118.49865554,1628896178.040793,1125,43,-80.4375,-11.375,1_SCell
34.01947262,-118.49865554,1628896178.040793,1125,206,-90.5625,-21.5,neighbor-intra
34.01947126,-118.49865792,1628896178.117935,66786,43,-87.0,-10.4375,PCell
34.01947126,-118.49865792,1628896178.117935,66786,206,-92.125,-20.25,neighbor-intra
34.01946991,-118.4986603,1628896178.19692,66786,43,-86.625,-11.25,PCell
34.01946991,-118.4986603,1628896178.19692,66786,206,-91.375,-20.3125,neighbor-intra
34.01946855,-118.49866268,1628896178.277928,66786,43,-86.5625,-11.5,PCell
34.01946855,-118.49866268,1628896178.277928,66786,206,-91.375,-20.1875,neighbor-intra
34.01946719,-118.49866506,1628896178.356909,66786,43,-86.0625,-12.6875,PCell
34.01946719,-118.49866506,1628896178.356909,66786,206,-90.4375,-19.4375,neighbor-intra
34.01946584,-118.49866744,1628896178.437931,66786,43,-86.125,-12.875,PCell
34.01946584,-118.49866744,1628896178.437931,66786,206,-90.6875,-19.3125,neighbor-intra
34.01946448,-118.49866983,1628896178.517982,66786,43,-86.6875,-12.5625,PCell
34.01946448,-118.49866983,1628896178.517982,66786,206,-92.0,-20.3125,neighbor-intra
34.01946448,-118.49866983,1628896178.520107,1125,43,-80.625,-9.75,1_SCell
34.01946448,-118.49866983,1628896178.520107,1125,206,-93.0625,-21.5625,neighbor-intra
34.01946355,-118.49867189,1628896178.597933,66786,43,-86.875,-12.8125,PCell
34.01946355,-118.49867189,1628896178.597933,66786,206,-92.4375,-20.9375,neighbor-intra
34.01946288,-118.49867375,1628896178.676905,66786,43,-86.5625,-13.125,PCell
34.01946288,-118.49867375,1628896178.676905,66786,206,-92.9375,-20.0625,neighbor-intra
34.01946221,-118.49867562,1628896178.757926,66786,43,-86.75,-13.5,PCell
34.01946221,-118.49867562,1628896178.757926,66786,206,-93.0,-20.5625,neighbor-intra
34.01946154,-118.49867749,1628896178.836907,66786,43,-86.75,-13.3125,PCell
34.01946154,-118.49867749,1628896178.836907,66786,206,-94.1875,-21.25,neighbor-intra
34.01946087,-118.49867935,1628896178.917936,66786,43,-86.9375,-13.375,PCell
34.01946087,-118.49867935,1628896178.917936,66786,206,-94.875,-21.75,neighbor-intra
34.0194602,-118.49868122,1628896178.996909,66786,43,-87.3125,-12.5,PCell
34.0194602,-118.49868122,1628896178.996909,66786,206,-94.875,-21.8125,neighbor-intra
34.0194602,-118.49868122,1628896179.000804,1125,43,-79.875,-8.0625,1_SCell
34.0194602,-118.49868122,1628896179.000804,1125,206,-95.8125,-21.0625,neighbor-intra
34.01945953,-118.49868309,1628896179.077931,66786,43,-87.25,-12.75,PCell
34.01945953,-118.49868309,1628896179.077931,66786,206,-94.8125,-21.75,neighbor-intra
34.01945887,-118.49868495,1628896179.156907,66786,43,-86.375,-13.375,PCell
34.01945887,-118.49868495,1628896179.156907,66786,206,-93.75,-21.5625,neighbor-intra
34.0194582,-118.49868682,1628896179.237924,66786,43,-85.9375,-12.8125,PCell
34.0194582,-118.49868682,1628896179.237924,66786,206,-90.75,-21.0,neighbor-intra
34.01945753,-118.49868868,1628896179.316909,66786,43,-86.1875,-13.25,PCell
34.01945753,-118.49868868,1628896179.316909,66786,206,-89.5,-20.1875,neighbor-intra
34.01945686,-118.49869055,1628896179.397928,66786,43,-86.875,-13.125,PCell
34.01945686,-118.49869055,1628896179.397928,66786,206,-90.3125,-19.6875,neighbor-intra
34.01945619,-118.49869242,1628896179.476912,66786,43,-86.5625,-13.375,PCell
34.01945619,-118.49869242,1628896179.476912,66786,206,-91.75,-19.75,neighbor-intra
34.01945619,-118.49869242,1628896179.480791,1125,43,-79.0625,-15.375,1_SCell
34.01945619,-118.49869242,1628896179.480791,1125,206,-83.75,-19.875,neighbor-intra
34.01945552,-118.49869428,1628896179.557945,66786,43,-86.5,-14.0,PCell
34.01945552,-118.49869428,1628896179.557945,66786,206,-91.5,-20.125,neighbor-intra
34.01945553,-118.49869535,1628896179.63691,66786,43,-86.75,-13.6875,PCell
34.01945553,-118.49869535,1628896179.63691,66786,206,-89.75,-20.375,neighbor-intra
34.01945726,-118.49869495,1628896179.717929,66786,43,-87.0625,-13.25,PCell
34.01945726,-118.49869495,1628896179.717929,66786,206,-91.8125,-21.25,neighbor-intra
34.01945899,-118.49869455,1628896179.796908,66786,43,-87.125,-12.6875,PCell
34.01945899,-118.49869455,1628896179.796908,66786,206,-90.25,-20.4375,neighbor-intra
34.01946073,-118.49869415,1628896179.877936,66786,43,-86.875,-12.6875,PCell
34.01946073,-118.49869415,1628896179.877936,66786,206,-90.0,-20.1875,neighbor-intra
34.01946246,-118.49869375,1628896179.956904,66786,43,-86.5625,-12.8125,PCell
34.01946246,-118.49869375,1628896179.956904,66786,206,-89.5625,-20.25,neighbor-intra
34.01946246,-118.49869375,1628896179.9608,1125,43,-78.25,-14.125,1_SCell
34.01946246,-118.49869375,1628896179.9608,1125,206,-81.375,-17.1875,neighbor-intra
34.01946419,-118.49869335,1628896180.037929,66786,43,-86.1875,-13.75,PCell
34.01946419,-118.49869335,1628896180.037929,66786,206,-89.4375,-20.3125,neighbor-intra
34.01946592,-118.49869295,1628896180.116918,66786,43,-85.9375,-14.625,PCell
34.01946592,-118.49869295,1628896180.116918,66786,206,-90.0625,-20.9375,neighbor-intra
34.01946592,-118.49869295,1628896180.120096,1125,43,-78.0,-11.25,1_SCell
34.01946592,-118.49869295,1628896180.120096,1125,206,-87.75,-19.3125,neighbor-intra
34.01946765,-118.49869255,1628896180.19793,66786,43,-86.25,-14.875,PCell
34.01946765,-118.49869255,1628896180.19793,66786,206,-89.5,-20.3125,neighbor-intra
34.01946938,-118.49869215,1628896180.276912,66786,43,-86.625,-14.9375,PCell
34.01946938,-118.49869215,1628896180.276912,66786,206,-89.875,-20.875,neighbor-intra
34.01947111,-118.49869175,1628896180.357931,66786,43,-87.0,-15.375,PCell
34.01947111,-118.49869175,1628896180.357931,66786,206,-88.875,-20.0,neighbor-intra
34.01947284,-118.49869135,1628896180.436927,66786,43,-87.1875,-15.5625,PCell
34.01947284,-118.49869135,1628896180.436927,66786,206,-88.25,-19.1875,neighbor-intra
34.01947457,-118.49869095,1628896180.517949,66786,43,-87.1875,-15.8125,PCell
34.01947457,-118.49869095,1628896180.517949,66786,206,-88.75,-19.5,neighbor-intra
34.0194763,-118.49869055,1628896180.596919,66786,43,-87.5625,-15.625,PCell
34.0194763,-118.49869055,1628896180.596919,66786,206,-88.9375,-19.875,neighbor-intra
34.0194763,-118.49869055,1628896180.600797,1125,43,-79.4375,-14.8125,1_SCell
34.0194763,-118.49869055,1628896180.600797,1125,206,-87.1875,-21.1875,neighbor-intra
