lat,lon,timestamp,freq,cid,rsrp,rsrq,type
34.02048584,-118.50164461,1629059395.336695,66786,96,-78.5625,-10.625,PCell
34.02048584,-118.50164461,1629059395.339393,66786,96,-78.5625,-10.625,PCell
34.02048648,-118.50164231,1629059395.378105,66786,96,-78.1875,-11.1875,PCell
34.0204868,-118.50164116,1629059395.400747,66786,96,-78.1875,-11.125,PCell
34.02048695,-118.50164059,1629059395.413125,66786,96,-78.1875,-11.125,PCell
34.02048711,-118.50164002,1629059395.419255,66786,96,-78.1875,-11.125,PCell
34.02048759,-118.50163829,1629059395.453157,66786,96,-78.6875,-11.4375,PCell
34.02048775,-118.50163772,1629059395.463157,1125,96,-84.5,-13.5,1_SCell
34.02048823,-118.50163599,1629059395.493197,66786,96,-79.125,-11.125,PCell
34.02048838,-118.50163542,1629059395.504217,5035,96,-81.75,-13.6875,2_SCell
34.02048902,-118.50163312,1629059395.542094,66786,96,-79.375,-11.0,PCell
34.02048902,-118.50163312,1629059395.542094,66786,43,-89.6875,-21.125,neighbor-intra
34.02049061,-118.50162738,1629059395.64424,66786,96,-78.75,-11.0,PCell
34.02049061,-118.50162738,1629059395.64424,66786,43,-90.375,-21.625,neighbor-intra
34.02049077,-118.50162681,1629059395.64633,1125,96,-82.25,-15.3125,1_SCell
34.02049188,-118.50162278,1629059395.724186,66786,96,-78.0625,-10.875,PCell
34.02049188,-118.50162278,1629059395.724186,66786,43,-89.25,-21.125,neighbor-intra
34.02049426,-118.50161417,1629059395.867039,66786,96,-78.875,-12.0,PCell
34.02049426,-118.50161417,1629059395.867039,66786,43,-89.25,-21.125,neighbor-intra
34.02049426,-118.50161417,1629059395.870262,1125,96,-81.5625,-16.4375,1_SCell
34.02049426,-118.50161417,1629059395.870262,1125,43,-84.9375,-20.625,neighbor-intra
34.02050062,-118.50159119,1629059396.270332,66786,96,-78.1875,-11.375,PCell
34.02050062,-118.50159119,1629059396.270332,66786,43,-94.375,-22.125,neighbor-intra
34.02050062,-118.50159119,1629059396.273144,1125,96,-80.4375,-17.9375,1_SCell
34.02050062,-118.50159119,1629059396.273144,1125,43,-82.875,-20.4375,neighbor-intra
34.02050518,-118.50158701,1629059396.909174,66786,96,-77.9375,-10.8125,PCell
34.02050518,-118.50158701,1629059396.909174,66786,43,-88.5,-20.5625,neighbor-intra
34.02050518,-118.50158701,1629059396.91134,1125,96,-81.8125,-17.4375,1_SCell
34.02050518,-118.50158701,1629059396.91134,1125,43,-82.25,-17.875,neighbor-intra
34.02050728,-118.50158727,1629059397.260285,66786,96,-77.375,-13.5625,PCell
34.02050728,-118.50158727,1629059397.260285,66786,43,-88.5,-20.5625,neighbor-intra
34.02050752,-118.5015873,1629059397.301337,66786,96,-77.5,-13.25,PCell
34.02050752,-118.5015873,1629059397.301337,66786,43,-90.375,-23.375,neighbor-intra
34.02050759,-118.50158798,1629059397.392043,1125,96,-82.9375,-14.375,1_SCell
34.02050759,-118.50158798,1629059397.392043,1125,43,-88.5625,-20.0625,neighbor-intra
34.02050495,-118.50159841,1629059398.189176,66786,96,-79.375,-14.1875,PCell
34.02050495,-118.50159841,1629059398.189176,66786,43,-89.1875,-21.5,neighbor-intra
34.02050495,-118.50159841,1629059398.19208,1125,96,-82.0625,-16.5625,1_SCell
34.02050495,-118.50159841,1629059398.19208,1125,43,-86.0625,-20.6875,neighbor-intra
34.02050884,-118.50159787,1629059398.82918,66786,96,-78.5,-12.375,PCell
34.02050884,-118.50159787,1629059398.82918,66786,43,-83.625,-17.4375,neighbor-intra
34.02050884,-118.50159787,1629059398.832079,1125,96,-82.4375,-12.8125,1_SCell
34.02050884,-118.50159787,1629059398.832079,1125,43,-86.375,-17.4375,neighbor-intra
34.02051412,-118.50159487,1629059399.469172,66786,96,-77.5,-15.375,PCell
34.02051412,-118.50159487,1629059399.469172,66786,43,-78.75,-17.1875,neighbor-intra
34.02051412,-118.50159487,1629059399.472081,1125,96,-81.875,-15.6875,1_SCell
34.02051412,-118.50159487,1629059399.472081,1125,43,-85.25,-19.0625,neighbor-intra
34.02051326,-118.50159665,1629059400.110232,66786,96,-78.0625,-16.0625,PCell
34.02051326,-118.50159665,1629059400.110232,66786,43,-94.9375,-22.8125,neighbor-intra
