lat,lon,timestamp,freq,cid,rsrp,rsrq,type
34.02472824,-118.49378236,1629156180.765471,8665,243,-126.625,-16.3125,neighbor-inter
34.02472824,-118.49378236,1629156180.765471,8665,301,-133.875,-23.1875,neighbor-inter
34.02472925,-118.49378396,1629156180.805481,8665,243,-125.8125,-18.0625,neighbor-inter
34.02472925,-118.49378396,1629156180.805481,8665,301,-125.8125,-20.1875,neighbor-inter
34.02473026,-118.49378556,1629156180.84547,8665,257,-122.4375,-14.6875,neighbor-inter
34.02473026,-118.49378556,1629156180.84547,8665,243,-125.625,-17.6875,neighbor-inter
34.02473026,-118.49378556,1629156180.84547,8665,301,-125.8125,-19.375,neighbor-inter
34.02473127,-118.49378717,1629156180.885865,8665,257,-122.875,-15.5,neighbor-inter
34.02473127,-118.49378717,1629156180.885865,8665,243,-124.9375,-17.3125,neighbor-inter
34.02473127,-118.49378717,1629156180.885865,8665,301,-125.375,-18.6875,neighbor-inter
34.02473152,-118.49378757,1629156180.896798,2300,463,-117.0,-14.0,1_SCell
34.02473152,-118.49378757,1629156180.896798,2300,443,-119.375,-17.0,neighbor-intra
34.02473152,-118.49378757,1629156180.896798,2300,279,-125.5,-19.375,neighbor-intra
34.02473152,-118.49378757,1629156180.896798,2300,203,-123.375,-19.4375,neighbor-intra
34.02474666,-118.49381107,1629156181.500781,5035,463,-114.4375,-15.375,PCell
34.02474666,-118.49381107,1629156181.500781,5035,279,-114.875,-14.75,neighbor-intra
34.02474666,-118.49381107,1629156181.500781,5035,203,-116.9375,-13.6875,neighbor-intra
34.02474666,-118.49381107,1629156181.500781,5035,234,-120.75,-20.5625,neighbor-intra
34.02474666,-118.49381107,1629156181.500781,5035,443,-115.5,-14.875,neighbor-intra
34.02474666,-118.49381107,1629156181.503946,2300,463,-122.4375,-14.9375,1_SCell
34.02474666,-118.49381107,1629156181.503946,2300,443,-124.5,-17.0,neighbor-intra
34.02474666,-118.49381107,1629156181.503946,2300,203,-125.9375,-18.4375,neighbor-intra
34.02474666,-118.49381107,1629156181.503946,2300,279,-126.6875,-19.0625,neighbor-intra
34.024771,-118.49383258,1629156182.140768,5035,463,-116.875,-14.6875,PCell
34.024771,-118.49383258,1629156182.140768,5035,279,-119.3125,-16.125,neighbor-intra
34.024771,-118.49383258,1629156182.140768,5035,443,-119.9375,-16.1875,neighbor-intra
34.024771,-118.49383258,1629156182.140768,5035,234,-123.0,-19.75,neighbor-intra
34.024771,-118.49383258,1629156182.143937,2300,463,-123.25,-14.8125,1_SCell
34.024771,-118.49383258,1629156182.143937,2300,443,-131.625,-19.0625,neighbor-intra
34.024771,-118.49383258,1629156182.143937,2300,203,-129.1875,-20.75,neighbor-intra
34.024771,-118.49383258,1629156182.143937,2300,279,-128.625,-20.25,neighbor-intra
34.02477366,-118.49383493,1629156182.205728,8665,257,-122.875,-15.5,neighbor-inter
34.02477366,-118.49383493,1629156182.205728,8665,243,-124.9375,-17.3125,neighbor-inter
34.02477366,-118.49383493,1629156182.205728,8665,301,-125.375,-18.6875,neighbor-inter
34.02477366,-118.49383493,1629156182.21392,5035,463,-117.4375,-15.125,PCell
34.02477366,-118.49383493,1629156182.21392,5035,279,-120.0625,-17.3125,neighbor-intra
34.02477366,-118.49383493,1629156182.21392,5035,443,-119.4375,-16.375,neighbor-intra
34.02477366,-118.49383493,1629156182.21392,5035,234,-122.3125,-19.5625,neighbor-intra
34.02477518,-118.49383628,1629156182.245469,8665,301,-124.3125,-14.75,neighbor-inter
34.02477518,-118.49383628,1629156182.245469,8665,243,-125.8125,-16.1875,neighbor-inter
34.02477784,-118.49383863,1629156182.320478,1125,234,-125.125,-19.0,neighbor-inter
34.02477784,-118.49383863,1629156182.320478,1125,443,-130.875,-22.625,neighbor-inter
34.0247786,-118.4938393,1629156182.336523,68886,234,-122.6875,-17.75,neighbor-inter
34.0247786,-118.4938393,1629156182.336523,68886,203,-123.3125,-18.375,neighbor-inter
34.02478127,-118.49384165,1629156182.405469,8665,301,-124.3125,-14.75,neighbor-inter
34.02478127,-118.49384165,1629156182.405469,8665,243,-125.8125,-16.1875,neighbor-inter
34.02478279,-118.493843,1629156182.445456,8665,301,-125.375,-17.125,neighbor-inter
34.02478279,-118.493843,1629156182.445456,8665,243,-134.8125,-26.125,neighbor-inter
34.02478431,-118.49384434,1629156182.485461,8665,301,-125.0625,-16.6875,neighbor-inter
34.02478431,-118.49384434,1629156182.485461,8665,243,-132.375,-23.625,neighbor-inter
34.02478545,-118.49384535,1629156182.525465,8665,301,-124.75,-16.375,neighbor-inter
34.02478545,-118.49384535,1629156182.525465,8665,243,-130.375,-21.6875,neighbor-inter
34.02478873,-118.49384945,1629156182.620777,5035,463,-113.8125,-13.5625,PCell
